Id,Outcome
1647,2
1562,1
2728,0
3630,0
3926,1
364,0
1687,0
2938,0
1981,0
3982,2
2385,0
2985,0
3886,0
1114,1
1126,0
3393,0
3284,0
627,1
3958,0
1269,0
972,3
367,0
3388,2
487,0
704,2
51,2
1765,3
2987,0
287,0
422,1
3371,0
2761,0
2283,2
1591,0
3054,0
3268,0
994,0
1622,1
2377,0
3568,0
2785,0
842,2
1082,3
2270,0
1566,0
3697,0
2998,0
3043,0
1763,0
684,0
3250,0
2194,0
3573,1
1382,0
1503,0
3575,2
1822,0
2793,3
64,1
1937,0
1344,0
620,2
589,0
3655,0
1490,0
126,0
1413,0
527,2
418,2
2396,0
2271,3
2616,3
3356,2
1501,1
2323,0
88,2
2712,0
3139,0
743,3
3430,0
2312,0
1941,0
283,0
2920,1
2223,0
2244,0
3293,2
1660,2
384,0
3392,3
2878,2
982,0
1492,0
1100,0
3653,0
2450,0
2460,2
264,3
1953,0
3777,0
20,0
2049,0
2090,2
3389,0
291,0
33,1
3417,0
247,2
3170,1
1639,2
281,0
1448,0
2503,0
916,2
2593,2
2402,2
3287,0
8,2
427,3
1676,0
2247,1
2372,1
2875,1
857,0
374,1
2577,1
2142,1
2083,1
2758,0
448,1
416,1
3009,1
1858,1
2709,0
612,3
3533,3
78,1
1645,0
3017,0
1818,1
1381,2
378,0
920,1
289,3
1767,0
1223,1
1761,1
3267,0
3063,1
3457,1
852,2
1511,1
294,1
2481,1
3121,1
1440,0
831,1
3923,1
1255,1
3868,0
3498,1
1925,1
184,1
3367,3
1522,1
968,0
3614,1
1357,0
453,1
1499,1
268,1
2316,1
2357,1
969,1
3840,1
1802,1
203,1
1557,3
537,2
1053,1
3220,1
304,1
2926,1
1855,3
185,1
2652,2
359,0
625,1
3258,3
2098,1
3705,1
209,0
3767,1
3131,1
2313,1
3036,1
3360,0
3583,1
3316,1
3969,1
2986,3
2306,0
1825,1
2651,3
488,1
2701,0
2340,0
2961,1
2036,1
766,2
405,1
3114,0
2236,1
2596,0
528,1
1199,1
836,0
2441,1
1869,1
3826,1
689,1
2694,1
3339,3
2366,1
2569,1
138,1
919,1
2350,1
1204,3
3733,1
2699,1
3057,1
3169,0
3020,1
1076,1
226,1
596,1
701,3
2130,1
2845,0
3853,0
856,2
3599,2
3682,2
727,0
587,2
3208,2
1814,3
3952,2
1728,3
960,1
1215,2
1571,2
144,0
1115,2
1975,2
3161,3
191,3
3008,2
1670,2
1505,2
860,2
3795,0
1129,3
505,2
1094,3
1336,2
3643,2
2934,2
53,0
285,2
1588,2
220,0
2210,3
1160,2
2743,2
990,0
3276,2
3019,2
3292,2
1149,2
548,2
2427,2
2154,3
3604,2
1667,2
1299,2
2966,0
646,2
1819,0
2423,1
1891,2
2185,2
2434,2
2408,2
2822,2
941,2
2943,2
1504,2
2012,3
2538,2
2937,2
2600,2
1095,2
2171,2
1302,3
2186,2
3243,3
3261,3
973,2
1380,2
2403,2
3254,2
2179,2
1355,2
2045,2
2302,2
803,0
1029,0
1014,1
308,2
1189,2
2808,1
1152,2
1646,0
3836,0
2554,1
3835,2
3994,2
1964,0
729,2
3459,0
3315,1
1689,1
1885,3
1726,1
1242,2
193,3
2568,2
1080,2
1296,2
2319,2
2113,2
3828,0
2706,2
716,2
1629,1
3282,2
2970,0
1650,2
731,0
1907,2
1881,3
3794,2
3068,2
3896,1
3157,3
683,2
2100,0
65,2
3650,2
2657,3
499,3
999,0
270,0
3469,3
490,3
2224,3
2816,0
3449,1
2992,3
1079,3
1276,0
3128,2
3770,2
938,3
1391,2
895,3
1549,1
3873,3
262,2
2220,3
1060,3
3689,3
1395,3
114,3
2233,3
2500,3
1643,3
3553,3
2429,1
2744,3
2002,0
2805,3
61,1
215,2
271,3
1939,1
1773,0
2128,3
2989,2
1910,3
163,1
379,3
3071,3
1903,2
737,0
3078,3
2735,3
3731,3
3779,0
1241,0
2047,3
3410,1
1746,2
3005,3
3647,1
666,3
1293,3
1579,3
1554,3
80,3
2173,3
3212,0
2667,3
1929,1
3845,2
2405,0
204,1
2453,2
1827,3
921,3
2345,3
744,3
545,2
3347,1
3006,3
2518,0
3559,2
3010,1
543,3
1052,2
2487,3
2172,3
1491,1
3742,3
762,3
1951,2
2184,3
3000,3
2369,3
974,2
2681,1
806,0
113,3
1985,3
3782,3
632,1
235,3
2897,0
3999,2
3026,0
664,3
2482,3
725,2
3159,3
2019,3
3796,0
1337,0
3730,2
3980,1
155,3
3954,3
1010,0
877,3
3273,0
2606,1
2148,3
1843,2
3124,3
